"state","placefp14","sdsec14","stab","placefp","placenm","placenm14","sschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sdsec14","State abbreviation","placefp","placenm","Place name 2014","Secondary school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sdsec14 allocation factor","sdsec14 to placefp14 allocation factor"
"36","45997"," ","NY"," "," ","Massapequa Park village, NY","36",-73.44934,40.683757,17008,1,0.015585 
"36","46107"," ","NY"," "," ","Matinecock village, NY","36",-73.584387,40.866499,810,1,0.000742 
"36","46668","19020","NY"," "," ","Merrick CDP, NY","Bellmore-Merrick Central High School District",-73.552029,40.658662,22097,1,0.312798 
"36","47405"," ","NY"," "," ","Mill Neck village, NY","36",-73.554695,40.884792,997,1,0.000914 
"36","47636"," ","NY"," "," ","Mineola village, NY","36",-73.639559,40.747067,18799,1,0.017226 
"36","49231"," ","NY"," "," ","Munsey Park village, NY","36",-73.681637,40.799119,2693,1,0.002468 
"36","49330"," ","NY"," "," ","Muttontown village, NY","36",-73.531068,40.821211,3497,1,0.003204 
"36","50067"," ","NY"," "," ","New Cassel CDP, NY","36",-73.568048,40.760152,14059,1,0.012883 
"36","50397","26520","NY"," "," ","New Hyde Park village, NY","Sewanhaka Central High School District",-73.686197,40.732446,9712,1,0.082422 
"36","51517","19020","NY"," "," ","North Bellmore CDP, NY","Bellmore-Merrick Central High School District",-73.53851,40.69006,19941,1,0.282278 
"36","53022"," ","NY"," "," ","North Hills village, NY","36",-73.674436,40.776102,5075,1,0.00465 
"36","53231"," ","NY"," "," ","North Lynbrook CDP, NY","36",-73.673792,40.668761,793,1,0.000727 
"36","53253"," ","NY"," "," ","North Massapequa CDP, NY","36",-73.469715,40.704741,17886,1,0.01639 
"36","53264","19020","NY"," "," ","North Merrick CDP, NY","Bellmore-Merrick Central High School District",-73.560345,40.686551,12272,1,0.173718 
"36","53275"," ","NY"," "," ","North New Hyde Park CDP, NY","36",-73.695898,40.747947,3372,0.226324,0.00309 
"36","53275","26520","NY"," "," ","North New Hyde Park CDP, NY","Sewanhaka Central High School District",-73.687103,40.743462,11527,0.773676,0.097825 
"36","53748","26520","NY"," "," ","North Valley Stream CDP, NY","Sewanhaka Central High School District",-73.717007,40.686548,8882,0.534159,0.075378 
"36","53748","29520","NY"," "," ","North Valley Stream CDP, NY","Valley Stream Central High School District",-73.702282,40.68111,7746,0.465841,0.129608 
"36","53792"," ","NY"," "," ","North Wantagh CDP, NY","36",-73.507745,40.697963,11960,1,0.010959 
"36","54441"," ","NY"," "," ","Oceanside CDP, NY","36",-73.636751,40.636693,32109,1,0.029423 
"36","54551"," ","NY"," "," ","Old Bethpage CDP, NY","36",-73.455558,40.762915,5523,1,0.005061 
"36","54562"," ","NY"," "," ","Old Brookville village, NY","36",-73.605625,40.832099,2134,1,0.001955 
"36","54705"," ","NY"," "," ","Old Westbury village, NY","36",-73.593348,40.787278,4671,1,0.00428 
"36","55992"," ","NY"," "," ","Oyster Bay CDP, NY","36",-73.532128,40.865904,6707,1,0.006146 
"36","56011"," ","NY"," "," ","Oyster Bay Cove village, NY","36",-73.504037,40.854975,2197,1,0.002013 
"36","58409"," ","NY"," "," ","Plainedge CDP, NY","36",-73.477533,40.723552,8817,1,0.008079 
