"state","placefp14","sduni14","stab","placefp","placenm","placenm14","uschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sduni14","State abbreviation","placefp","placenm","Place name 2014","Unified school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sduni14 allocation factor","sduni14 to placefp14 allocation factor"
"36","30202","12510","NY"," "," ","Great Neck Gardens CDP, NY","Great Neck Union Free School District",-73.72227,40.796938,1186,1,0.026604 
"36","30213","12510","NY"," "," ","Great Neck Plaza village, NY","Great Neck Union Free School District",-73.726248,40.786924,6707,1,0.150449 
"36","30598","25050","NY"," "," ","Greenvale CDP, NY","Roslyn Union Free School District",-73.626331,40.811326,749,0.684643,0.04296 
"36","30598","26370","NY"," "," ","Greenvale CDP, NY","North Shore Central School District",-73.623058,40.814458,345,0.315356,0.021122 
"36","32094","12510","NY"," "," ","Harbor Hills CDP, NY","Great Neck Union Free School District",-73.747919,40.789379,586,1,0.013145 
"36","32105","15480","NY"," "," ","Harbor Isle CDP, NY","Island Park Union Free School District",-73.665055,40.602364,1301,1,0.155436 
"36","33139","14130","NY"," "," ","Hempstead village, NY","Hempstead Union Free School District",-73.621207,40.707007,43704,0.81097,0.988487 
"36","33139","24780","NY"," "," ","Hempstead village, NY","Rockville Centre Union Free School District",-73.618121,40.688858,235,0.004361,0.0107 
"36","33139","29280","NY"," "," ","Hempstead village, NY","Uniondale Union Free School District",-73.606973,40.700969,9849,0.182758,0.234299 
"36","33139","30660","NY"," "," ","Hempstead village, NY","West Hempstead Union Free School District",-73.641785,40.711431,103,0.001911,0.006018 
"36","34198","14280","NY"," "," ","Herricks CDP, NY","Herricks Union Free School District",-73.663792,40.756334,4295,1,0.174056 
"36","34286","17910","NY"," "," ","Hewlett CDP, NY","Lynbrook Union Free School District",-73.6811,40.645534,950,0.139317,0.053956 
"36","34286","31710","NY"," "," ","Hewlett CDP, NY","Hewlett-Woodmere Union Free School District",-73.697242,40.641353,5869,0.860683,0.288318 
"36","34297","31710","NY"," "," ","Hewlett Bay Park village, NY","Hewlett-Woodmere Union Free School District",-73.69598,40.634057,404,1,0.019847 
"36","34308","17910","NY"," "," ","Hewlett Harbor village, NY","Lynbrook Union Free School District",-73.6793,40.635953,384,0.304038,0.02181 
"36","34308","31710","NY"," "," ","Hewlett Harbor village, NY","Hewlett-Woodmere Union Free School District",-73.685642,40.634232,879,0.695962,0.043181 
"36","34319","31710","NY"," "," ","Hewlett Neck village, NY","Hewlett-Woodmere Union Free School District",-73.69908,40.625099,445,1,0.021861 
"36","34374","04740","NY"," "," ","Hicksville CDP, NY","Bethpage Union Free School District",-73.507948,40.747365,1123,0.02703,0.058593 
"36","34374","14340","NY"," "," ","Hicksville CDP, NY","Hicksville Union Free School District",-73.523968,40.762762,38717,0.931884,0.975239 
"36","34374","15810","NY"," "," ","Hicksville CDP, NY","Jericho Union Free School District",-73.538275,40.777758,46,0.001107,0.002652 
"36","34374","28560","NY"," "," ","Hicksville CDP, NY","Syosset Central School District",-73.510203,40.788654,1661,0.039979,0.048567 
"36","37583","16830","NY"," "," ","Inwood CDP, NY","Lawrence Union Free School District",-73.744838,40.618094,9792,1,0.275133 
"36","37847","15480","NY"," "," ","Island Park village, NY","Island Park Union Free School District",-73.655893,40.604437,4655,1,0.556153 
"36","38539","14340","NY"," "," ","Jericho CDP, NY","Hicksville Union Free School District",-73.523677,40.780776,823,0.060662,0.02073 
"36","38539","15810","NY"," "," ","Jericho CDP, NY","Jericho Union Free School District",-73.541689,40.784984,11059,0.815139,0.63748 
"36","38539","28560","NY"," "," ","Jericho CDP, NY","Syosset Central School District",-73.523324,40.797689,1685,0.124198,0.049269 
"36","39309","12510","NY"," "," ","Kensington village, NY","Great Neck Union Free School District",-73.723965,40.792973,1157,0.996554,0.025953 
"36","39309","18270","NY"," "," ","Kensington village, NY","Manhasset Union Free School District",-73.711277,40.794069,4,0.003445,0.000247 
"36","39694","12510","NY"," "," ","Kings Point village, NY","Great Neck Union Free School District",-73.741672,40.815036,5034,1,0.112921 
"36","40937","12510","NY"," "," ","Lake Success village, NY","Great Neck Union Free School District",-73.714091,40.769018,2934,1,0.065814 
"36","41003","14130","NY"," "," ","Lakeview CDP, NY","Hempstead Union Free School District",-73.634248,40.686629,15,0.002671,0.000339 
"36","41003","18210","NY"," "," ","Lakeview CDP, NY","Malverne Union Free School District",-73.655571,40.675003,5335,0.950133,0.35803 
"36","41003","30660","NY"," "," ","Lakeview CDP, NY","West Hempstead Union Free School District",-73.654251,40.682619,265,0.047195,0.015483 
"36","41432","17700","NY"," "," ","Lattingtown village, NY","Locust Valley Central School District",-73.594347,40.890386,1739,1,0.111332 
"36","41487","08010","NY"," "," ","Laurel Hollow village, NY","Cold Spring Harbor Central School District",-73.475058,40.852405,1772,0.907787,0.927263 
"36","41487","22290","NY"," "," ","Laurel Hollow village, NY","Oyster Bay-East Norwich Central School District",-73.488405,40.862513,180,0.092213,0.013629 
"36","41553","16830","NY"," "," ","Lawrence village, NY","Lawrence Union Free School District",-73.729136,40.611968,6483,1,0.182158 
"36","42081","09840","NY"," "," ","Levittown CDP, NY","East Meadow Union Free School District",-73.540406,40.738634,1877,0.036179,0.036025 
"36","42081","15510","NY"," "," ","Levittown CDP, NY","Island Trees Union Free School District",-73.50016,40.729284,15424,0.297296,1 
"36","42081","17160","NY"," "," ","Levittown CDP, NY","Levittown Union Free School District",-73.516667,40.721733,34580,0.666525,0.743017 
"36","42279","17730","NY"," "," ","Lido Beach CDP, NY","Long Beach City School District",-73.623255,40.589493,2897,1,0.074945 
"36","43192","17700","NY"," "," ","Locust Valley CDP, NY","Locust Valley Central School District",-73.595143,40.87761,3406,1,0.218054 
"36","43335","17730","NY"," "," ","Long Beach city, NY","Long Beach City School District",-73.664616,40.587546,33275,1,0.86082 
"36","43874"," ","NY"," "," ","Lynbrook village, NY","36",-73.686982,40.653929,1262,0.064961,0.005084 
"36","43874","09960","NY"," "," ","Lynbrook village, NY","East Rockaway Union Free School District",-73.660336,40.654218,1233,0.063468,0.126241 
"36","43874","17910","NY"," "," ","Lynbrook village, NY","Lynbrook Union Free School District",-73.676428,40.656772,12741,0.655839,0.723632 
"36","43874","18210","NY"," "," ","Lynbrook village, NY","Malverne Union Free School District",-73.665836,40.66341,3929,0.202244,0.263674 
"36","43874","31710","NY"," "," ","Lynbrook village, NY","Hewlett-Woodmere Union Free School District",-73.687573,40.649589,262,0.013486,0.012871 
"36","44787"," ","NY"," "," ","Malverne village, NY","36",-73.678626,40.675849,3994,0.46911,0.016089 
"36","44787","18210","NY"," "," ","Malverne village, NY","Malverne Union Free School District",-73.668059,40.673405,4520,0.53089,0.303335 
"36","44792","18210","NY"," "," ","Malverne Park Oaks CDP, NY","Malverne Union Free School District",-73.66538,40.680452,324,0.641584,0.021744 
"36","44792","30660","NY"," "," ","Malverne Park Oaks CDP, NY","West Hempstead Union Free School District",-73.659789,40.681977,181,0.358416,0.010575 
"36","44897","12510","NY"," "," ","Manhasset CDP, NY","Great Neck Union Free School District",-73.706745,40.78007,933,0.11547,0.020929 
"36","44897","18270","NY"," "," ","Manhasset CDP, NY","Manhasset Union Free School District",-73.692965,40.792739,7147,0.88453,0.442101 
"36","44908","12510","NY"," "," ","Manhasset Hills CDP, NY","Great Neck Union Free School District",-73.68815,40.760851,291,0.081013,0.006528 
"36","44908","14280","NY"," "," ","Manhasset Hills CDP, NY","Herricks Union Free School District",-73.678972,40.759003,3301,0.918986,0.133774 
"36","45106","23580","NY"," "," ","Manorhaven village, NY","Port Washington Union Free School District",-73.714496,40.841843,6556,1,0.211001 
"36","45986","18630","NY"," "," ","Massapequa CDP, NY","Massapequa Union Free School District",-73.471141,40.667736,20264,0.934471,0.429823 
"36","45986","23190","NY"," "," ","Massapequa CDP, NY","Plainedge Union Free School District",-73.472389,40.690192,1421,0.065529,0.073841 
"36","45997","10980","NY"," "," ","Massapequa Park village, NY","Farmingdale Union Free School District",-73.445924,40.701077,1832,0.107714,0.052766 
"36","45997","18630","NY"," "," ","Massapequa Park village, NY","Massapequa Union Free School District",-73.449752,40.681667,15176,0.892286,0.3219 
"36","46107","17700","NY"," "," ","Matinecock village, NY","Locust Valley Central School District",-73.584387,40.866499,810,1,0.051857 
"36","46668"," ","NY"," "," ","Merrick CDP, NY","36",-73.552029,40.658662,22097,1,0.089014 
"36","47405","17700","NY"," "," ","Mill Neck village, NY","Locust Valley Central School District",-73.566167,40.881011,266,0.2668,0.017029 
